threshold,FAR,FRR,TPR,TNR
0.7,0.0,0.0,1.0,1.0
0.71,0.0,0.0,1.0,1.0
0.72,0.0,0.0,1.0,1.0
0.73,0.0,0.00066711140760507,0.9993328885923949,1.0
0.74,0.0,0.00133422281521014,0.9986657771847899,1.0
0.75,0.0,0.0020013342228152103,0.9979986657771848,1.0
0.76,0.0,0.00266844563042028,0.9973315543695798,1.0
0.77,0.0,0.00266844563042028,0.9973315543695798,1.0
0.78,0.0,0.00533689126084056,0.9946631087391594,1.0
0.79,0.0,0.0066711140760507,0.9933288859239493,1.0
0.8,0.0,0.00867244829886591,0.9913275517011341,1.0
0.81,0.0,0.012675116744496331,0.9873248832555037,1.0
0.82,0.0,0.02134756504336224,0.9786524349566378,1.0
0.83,0.0,0.0266844563042028,0.9733155436957972,1.0
0.84,0.0,0.03468979319546364,0.9653102068045364,1.0
0.85,0.0,0.046030687124749836,0.9539693128752502,1.0
0.86,0.0,0.054036024016010674,0.9459639759839893,1.0
0.87,0.0,0.07004669779853236,0.9299533022014677,1.0
0.88,0.0,0.08605737158105403,0.913942628418946,1.0
0.89,0.0,0.10607071380920614,0.8939292861907938,1.0
0.9,0.0,0.13675783855903936,0.8632421614409607,1.0
0.91,0.0,0.1734489659773182,0.8265510340226818,1.0
0.92,0.0,0.21547698465643764,0.7845230153435624,1.0
0.93,0.0,0.27218145430286855,0.7278185456971314,1.0
0.94,0.0,0.34489659773182124,0.6551034022681788,1.0
0.95,0.0,0.43162108072048033,0.5683789192795197,1.0
0.96,0.0,0.57104736490994,0.42895263509006,1.0
0.97,0.0,0.7311541027351568,0.2688458972648432,1.0
0.98,0.0,0.8905937291527685,0.10940627084723153,1.0
0.99,0.0,0.9939959973315544,0.006004002668445585,1.0
